identity,Ensembl_Gene_ID,Symbol,biotype,source_databases,nominated,mapped,protein_coding,family_eligible,hpa_restriction,default_panel
ENSG00000173818,ENSG00000173818,ENDOV,protein_coding,daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,False,False
ENSG00000173838,ENSG00000173838,MARCHF10,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S2;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000173868,ENSG00000173868,PHOSPHO1,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000173889,ENSG00000173889,PHC3,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000173894,ENSG00000173894,CBX2,protein_coding,Bruggeman2018_GC;Chang2019_TGCT;Wang2016_CT,True,True,True,True,False,False
ENSG00000173908,ENSG00000173908,KRT28,protein_coding,Wang2016_CT;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,False,False
ENSG00000173930,ENSG00000173930,SLCO4C1,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000173933,ENSG00000173933,RBM4,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000173988,ENSG00000173988,LRRC63,protein_coding,Chang2019_TGCT,True,True,True,True,False,False
ENSG00000174007,ENSG00000174007,CEP19,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000174015,ENSG00000174015,CBY2,protein_coding,CTexploreR_CT;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000174016,ENSG00000174016,TENT5D,protein_coding,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000174038,ENSG00000174038,SPATA31G1,protein_coding,Bruggeman2018_GC;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,False,False
ENSG00000174206,ENSG00000174206,KICS2,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000174225,ENSG00000174225,ARL13A,protein_coding,Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT,True,True,True,True,True,True
ENSG00000174279,ENSG00000174279,EVX2,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000174371,ENSG00000174371,EXO1,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000174405,ENSG00000174405,LIG4,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000174446,ENSG00000174446,SNAPC5,protein_coding,Jamin2021_CT;Jamin2021_core,True,True,True,True,False,False
ENSG00000174448,ENSG00000174448,STARD6,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000174450,ENSG00000174450,GOLGA6L2,protein_coding,Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000174483,ENSG00000174483,BBS1,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000174527,ENSG00000174527,MYO1H,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,True,False
ENSG00000174562,ENSG00000174562,KLK15,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000174667,ENSG00000174667,OR7D4,protein_coding,daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,False
ENSG00000174776,ENSG00000174776,WDR49,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000174788,ENSG00000174788,PCP2,protein_coding,Chang2019_TGCT;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000174796,ENSG00000174796,THAP6,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000174886,ENSG00000174886,NDUFA11,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000174898,ENSG00000174898,CATSPERD,protein_coding,CTpedia;Gong2021_reproductive_PC;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000175018,ENSG00000175018,TEX36,protein_coding,Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,True,True
ENSG00000175073,ENSG00000175073,VCPIP1,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000175097,ENSG00000175097,RAG2,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
