gene,rho,p,n,med_log10tpm
KRT8P14,-0.16075871999606603,0.3637507225888828,34,0.0
SEL1L3,-0.16074075921756023,0.356300782402425,35,1.6244670081453423
EXOSC3,-0.16074075921756023,0.356300782402425,35,1.4781323053943145
CLTB,-0.16074075921756023,0.356300782402425,35,2.037796817110934
PEX19,-0.16068188062281105,0.3564793145529749,35,1.4802727303642116
ESRP2,-0.16068188062281105,0.3564793145529749,35,1.445498683358909
PAK5,-0.16067364987131738,0.36400801268631694,34,0.0043359827657849705
PIK3IP1,-0.16060049677496205,0.3567261758167658,35,1.340212469010899
SERTAD3,-0.16060049677496205,0.3567261758167658,35,1.4179465500072836
PTP4A1,-0.16054160835688108,0.3569048658315913,35,1.9477887570674874
NTF3,-0.1604602343323638,0.35715187426276734,35,0.16351826846832268
MAFIP,-0.16045519088050442,0.36466922657815193,34,0.0
RCE1,-0.16040133609095109,0.3573307221585838,35,1.3753665646868578
RN7SL250P,-0.16038553715784992,0.3648801989448466,34,0.0
GRID1-AS1,-0.16038553715784992,0.3648801989448466,34,0.0
OR2H5P,-0.16038553715784992,0.3648801989448466,34,0.0
OR11H13P,-0.16038553715784992,0.3648801989448466,34,0.0
GEMIN8P4,-0.16037973111381962,0.36489778799956885,34,0.38033173412498855
DHFR2,-0.16037973111381962,0.36489778799956885,34,0.6067734617967748
SLC25A25-AS1,-0.16037973111381962,0.36489778799956885,34,0.4103782120835735
NSMCE3,-0.16037973111381962,0.36489778799956885,34,1.177711497528911
SPINK2,-0.16036489832245068,0.3574413944600467,35,0.11274203735305237
C1QTNF1,-0.16034243038562274,0.35750964649936856,35,1.271049586293429
KCTD17,-0.1603199718897656,0.3575778776783631,35,1.108298344589811
ZNF593,-0.1603199718897656,0.3575778776783631,35,1.2270668106620748
UBR4,-0.1603199718897656,0.3575778776783631,35,1.9024012146334375
MYEF2,-0.1603199718897656,0.3575778776783631,35,1.026997380607905
SYNGR2,-0.1603199718897656,0.3575778776783631,35,2.3356892869048935
STRA6,-0.1603199718897656,0.3575778776783631,35,0.659144428202895
GMCL1,-0.1603199718897656,0.3575778776783631,35,1.0597839547175008
GPAA1P1,-0.16020834840321022,0.3654172085609898,34,0.04126237725769402
LINC01285,-0.16019609021822703,0.36545437706355133,34,0.023314208232026352
ARFIP1,-0.16017970944716736,0.3580041860010778,35,1.3357830284144645
SHISA4,-0.16017970944716736,0.3580041860010778,35,1.078403452380897
SPIN4,-0.16017970944716736,0.3580041860010778,35,0.5603250450041539
NOS2P2,-0.16015319959907642,0.3655844450072866,34,0.0
SIAH3,-0.16012326680456443,0.35817582163931694,35,0.0049727567625361836
SLC25A43,-0.16012079155909106,0.3581833497082834,35,1.1210654256853836
NT5DC3,-0.16012079155909106,0.3581833497082834,35,0.5610791911112655
CCDC125,-0.16012079155909106,0.3581833497082834,35,0.7737929794946865
PLPP5,-0.1600736629246711,0.36582571675489645,34,1.588305852979131
ACTL11P,-0.1600107449827856,0.3737344890353674,33,0.004182033201931884
HDAC10,-0.1599805192931611,0.35861012080526267,35,1.3507519727417365
IL22RA1,-0.1599805192931611,0.35861012080526267,35,0.5306776714560356
NR1H4,-0.15994602376546532,0.3587151183563916,35,0.015583552228439696
LINC00870,-0.15992990812743346,0.36626203194135093,34,0.02406178275042259
SLC25A39,-0.15989918456197094,0.3588577171159225,35,2.237301895964448
SLC66A3,-0.15987301838965814,0.3741513081274971,33,1.2436718792346224
MRFAP1L1,-0.1598402470272311,0.35903719669916173,35,1.695805507889973
COMMD1,-0.1598402470272311,0.35903719669916173,35,1.6765405830078337
FOXP1,-0.15975892211937273,0.3592849397810595,35,1.1886196172828607
CALD1,-0.15975892211937273,0.3592849397810595,35,1.8022576068359994
SYT9,-0.1597559293458152,0.3592940587320043,35,0.009020637714325397
PHB1P2,-0.1597468436737643,0.3745334061542657,33,0.012879277932489552
TMEM106B,-0.1596999747613011,0.3594645773260947,35,1.3140794457466602
ERG,-0.1596999747613011,0.3594645773260947,35,0.5853228614309064
EXOSC8,-0.1596186596767745,0.35971246709932975,35,1.414552529951059
WDR1,-0.1596186596767745,0.35971246709932975,35,2.2114097902736742
MLXIP,-0.1596186596767745,0.35971246709932975,35,1.2791290119469063
POM121,-0.1596186596767745,0.35971246709932975,35,1.351931925468786
GBA3,-0.15960138686717737,0.35976513659877685,35,0.04536114820965426
KCNA4,-0.1595523285125876,0.35991475406850376,35,0.0
GALT,-0.15947839723417626,0.3601402990062147,35,1.3977686196274033
EIF2B1,-0.15947839723417626,0.3601402990062147,35,1.5137164457126508
HOXB5,-0.15947839723417626,0.3601402990062147,35,0.5441001809528968
EMC4,-0.15946152654637408,0.36768577594117774,34,2.003841840852596
ELP6,-0.15946152654637408,0.36768577594117774,34,1.4271446240536285
RPL9P18,-0.15942927717636302,0.36778392527902054,34,0.03032373953166239
TEAD1,-0.1594194302294411,0.36032025252147293,35,1.086323020877599
IL13RA2,-0.1594194302294411,0.36032025252147293,35,0.13868281580902428
ZHX2,-0.15933813479157807,0.36056843543678635,35,0.9818108631645615
CRELD1,-0.15933813479157807,0.36056843543678635,35,1.4367990662046322
ACBD4,-0.15933813479157807,0.36056843543678635,35,0.9894992514483977
GTF2IP14,-0.15924274757963006,0.36835192349704116,34,0.02127936294976152
ENTR1P2,-0.1592160222333184,0.37614341642580684,33,0.0
CACNB3,-0.15919787234897984,0.36099687632570826,35,1.2947546165606103
COX18,-0.15919787234897984,0.36099687632570826,35,0.9626323428039785
HSPH1,-0.15919787234897984,0.36099687632570826,35,1.7621305870742725
CHPF2,-0.15919787234897984,0.36099687632570826,35,1.4801007088049634
SULF1,-0.15919787234897984,0.36099687632570826,35,1.5033137183778253
