cancer_code,cohort,n_samples,cta,q1,median,q3
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,PAGE2,0.0,0.0,0.172574
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,PAGE2B,0.0,0.094407,0.290955
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,PAGE5,0.0,0.0,0.167726
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,PHF7,4.287625,6.569063,10.002348
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,PIWIL1,0.0,0.013021,0.050274
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,PRAME,0.066622,0.454689,29.558234
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,RNF148,0.070592,0.15086,0.312988
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,SMC1B,0.064058,0.219497,0.769009
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,SPATA32,0.068129,0.132575,0.197089
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,SPATA4,0.122766,0.335799,0.945223
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,SSX1,0.0,0.0,0.023869
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,STKLD1,1.224882,1.710021,2.470245
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,SYCE2,1.376343,2.239359,3.401229
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,SYCP3,0.086134,0.176996,0.364628
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,TEX14,0.425439,1.014002,2.083189
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,TMEM210,0.237977,0.499511,1.055889
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,TSPYL6,0.0,0.0,0.012287
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,TULP2,0.0,0.024872,0.070588
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,WDR64,0.011694,0.035665,0.069117
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,XAGE1A,0.0,0.0,0.068351
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,XAGE1B,0.0,0.0,0.116321
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,YBX2,4.997161,9.94592,19.013266
BRCA_LumB,Luminal B [BRCA_LumB] (n=199),199,ZC3H11B,0.069759,0.118043,0.169955
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,ADAM29,0.0,0.0,0.011565
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,AKNAD1,0.011719,0.085703,0.236566
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,ANKRD7,0.0,0.033472,0.112144
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,C12orf42,0.0,0.035742,0.108502
CESC,Cervical Squamous / Adenocarcinoma [CESC] (n=306),306,C1orf94,0.0,0.0,0.01146
