Ensembl_Gene_ID,Symbol,category
ENSG00000240356,RPL23AP7,ribosomal_protein
ENSG00000291064,RPL23AP7,ribosomal_protein
ENSG00000293106,RPL23AP7,ribosomal_protein
ENSG00000241052,RPL23AP70,ribosomal_protein
ENSG00000237450,RPL23AP71,ribosomal_protein
ENSG00000239840,RPL23AP72,ribosomal_protein
ENSG00000244283,RPL23AP73,ribosomal_protein
ENSG00000227694,RPL23AP74,ribosomal_protein
ENSG00000240125,RPL23AP75,ribosomal_protein
ENSG00000226156,RPL23AP76,ribosomal_protein
ENSG00000267301,RPL23AP77,ribosomal_protein
ENSG00000269244,RPL23AP78,ribosomal_protein
ENSG00000241582,RPL23AP8,ribosomal_protein
ENSG00000213035,RPL23AP80,ribosomal_protein
ENSG00000242748,RPL23AP81,ribosomal_protein
ENSG00000184319,RPL23AP82,ribosomal_protein
ENSG00000234135,RPL23AP83,ribosomal_protein
ENSG00000261914,RPL23AP84,ribosomal_protein
ENSG00000283660,RPL23AP84,ribosomal_protein
ENSG00000224980,RPL23AP85,ribosomal_protein
ENSG00000262959,RPL23AP86,ribosomal_protein
ENSG00000232938,RPL23AP87,ribosomal_protein
ENSG00000293087,RPL23AP87,ribosomal_protein
ENSG00000271153,RPL23AP88,ribosomal_protein
ENSG00000227875,RPL23AP89,ribosomal_protein
ENSG00000271415,RPL23AP90,ribosomal_protein
