Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
SLC22A12,ENSG00000197891,Solute carrier family 22 member 12,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MYADM,ENSG00000179820,Myeloid-associated differentiation marker,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SERINC2,ENSG00000168528,Serine incorporator 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN18,ENSG00000157570,Tetraspanin-18,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DIRC2,ENSG00000138463,Disrupted in renal carcinoma protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC9A7,ENSG00000065923,Sodium/hydrogen exchanger 7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CSF3R,ENSG00000119535,Granulocyte colony-stimulating factor receptor,Predicted,CD114,Bausch-Fluck et al. 2018 PNAS 115:E10988
HBEGF,ENSG00000113070,Proheparin-binding EGF-like growth factor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC4,ENSG00000145113,Mucin-4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SCN2A,ENSG00000136531,Sodium channel protein type 2 subunit alpha,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GML,ENSG00000104499,Glycosyl-phosphatidylinositol-anchored molecule-like protein,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPY6R,,Putative neuropeptide Y receptor type 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NOTCH4,ENSG00000204301,Neurogenic locus notch homolog protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD180,ENSG00000134061,CD180 antigen,CSPA_validated,CD180,Bausch-Fluck et al. 2018 PNAS 115:E10988
S1PR3,ENSG00000213694,Sphingosine 1-phosphate receptor 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SORT1,ENSG00000134243,Sortilin,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPER1,ENSG00000164850,G-protein coupled estrogen receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RX4,ENSG00000135124,P2X purinoceptor 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RX7,ENSG00000089041,P2X purinoceptor 7,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OSMR,ENSG00000145623,Oncostatin-M-specific receptor subunit beta,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IL12RB2,ENSG00000081985,Interleukin-12 receptor subunit beta-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LPAR4,ENSG00000147145,Lysophosphatidic acid receptor 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR20,ENSG00000204882,G-protein coupled receptor 20,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR21,ENSG00000188394,Probable G-protein coupled receptor 21,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR22,ENSG00000172209,Probable G-protein coupled receptor 22,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MCHR1,ENSG00000128285,Melanin-concentrating hormone receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIR2DL4,ENSG00000189013,Killer cell immunoglobulin-like receptor 2DL4,Predicted,CD158d,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA3,ENSG00000167972,ATP-binding cassette sub-family A member 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CMKLR1,ENSG00000174600,Chemokine-like receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPA33,ENSG00000143167,Cell surface A33 antigen,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TM9SF2,ENSG00000125304,Transmembrane 9 superfamily member 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC29A1,ENSG00000112759,Equilibrative nucleoside transporter 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SMO,ENSG00000128602,Smoothened homolog,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A7,ENSG00000011083,Sodium-dependent proline transporter,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GABRG3,ENSG00000182256,Gamma-aminobutyric acid receptor subunit gamma-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM2,ENSG00000104755,Disintegrin and metalloproteinase domain-containing protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RY13,ENSG00000181631,P2Y purinoceptor 13,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PDCD1LG2,ENSG00000197646,Programmed cell death 1 ligand 2,CSPA_validated,CD273,Bausch-Fluck et al. 2018 PNAS 115:E10988
HEPH,ENSG00000089472,Hephaestin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLSTN3,ENSG00000139182,Calsyntenin-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MXRA8,ENSG00000162576,Matrix-remodeling-associated protein 8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC35A5,ENSG00000138459,Probable UDP-sugar transporter protein SLC35A5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TTYH2,ENSG00000141540,Protein tweety homolog 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM204,ENSG00000131634,Transmembrane protein 204,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UPK3B,ENSG00000243566,Uroplakin-3b,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRFN3,ENSG00000126243,Leucine-rich repeat and fibronectin type-III domain-containing protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CRB3,ENSG00000130545,Protein crumbs homolog 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FAIM2,ENSG00000135472,Protein lifeguard 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
BOC,ENSG00000144857,Brother of CDO,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
JAM3,ENSG00000166086,Junctional adhesion molecule C,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PLVAP,ENSG00000130300,Plasmalemma vesicle-associated protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SUCNR1,ENSG00000198829,Succinate receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LGR4,ENSG00000205213,Leucine-rich repeat-containing G-protein coupled receptor 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HCAR1,ENSG00000196917,Hydroxycarboxylic acid receptor 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR174,ENSG00000147138,Probable G-protein coupled receptor 174,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VN1R3,,Vomeronasal type-1 receptor 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
AMN,ENSG00000166126,Protein amnionless,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLEC7A,ENSG00000172243,C-type lectin domain family 7 member A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC12A9,ENSG00000146828,Solute carrier family 12 member 9,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TLR10,ENSG00000174123,Toll-like receptor 10,Predicted,CD290,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC26A6,ENSG00000225697,Solute carrier family 26 member 6,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CACNG6,ENSG00000130433,Voltage-dependent calcium channel gamma-6 subunit,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC4A5,ENSG00000188687,Electrogenic sodium bicarbonate cotransporter 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC46A2,ENSG00000119457,Thymic stromal cotransporter homolog,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TEX101,ENSG00000131126,Testis-expressed sequence 101 protein,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
EMR3,ENSG00000131355,EGF-like module-containing mucin-like hormone receptor-like 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR87,ENSG00000138271,G-protein coupled receptor 87,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CADM1,ENSG00000182985,Cell adhesion molecule 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFRP,ENSG00000235718,Membrane frizzled-related protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMPRSS13,ENSG00000137747,Transmembrane protease serine 13,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDHR2,ENSG00000074276,Cadherin-related family member 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACE2,ENSG00000130234,Angiotensin-converting enzyme 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC17A9,ENSG00000101194,Solute carrier family 17 member 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANO3,ENSG00000134343,Anoctamin-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC2A11,ENSG00000133460,"Solute carrier family 2, facilitated glucose transporter member 11",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM33,ENSG00000149451,Disintegrin and metalloproteinase domain-containing protein 33,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNTNAP3,ENSG00000106714,Contactin-associated protein-like 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDH11X,ENSG00000102290,Protocadherin-11 X-linked,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDH11Y,ENSG00000099715,Protocadherin-11 Y-linked,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCA2,ENSG00000107331,ATP-binding cassette sub-family A member 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC29A3,ENSG00000198246,Equilibrative nucleoside transporter 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ACPT,ENSG00000142513,Testicular acid phosphatase,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LYNX1,ENSG00000180155,Ly-6/neurotoxin-like protein 1,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR63,ENSG00000112218,Probable G-protein coupled receptor 63,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR62,ENSG00000180929,Probable G-protein coupled receptor 62,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR61,ENSG00000156097,Probable G-protein coupled receptor 61,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ULBP3,ENSG00000131019,NKG2D ligand 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ULBP2,ENSG00000131015,NKG2D ligand 2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ULBP1,ENSG00000111981,NKG2D ligand 1,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RTN4R,ENSG00000040608,Reticulon-4 receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC19A3,ENSG00000135917,Thiamine transporter 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IMPG2,ENSG00000081148,Interphotoreceptor matrix proteoglycan 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC13A1,ENSG00000081800,Solute carrier family 13 member 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD244,ENSG00000122223,Natural killer cell receptor 2B4,CSPA_validated,CD244,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC1,ENSG00000088827,Sialoadhesin,CSPA_validated,CD169,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNTNAP4,ENSG00000152910,Contactin-associated protein-like 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ZDHHC5,ENSG00000156599,Palmitoyltransferase ZDHHC5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEMA4C,ENSG00000168758,Semaphorin-4C,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TTYH3,ENSG00000136295,Protein tweety homolog 3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
THSD7B,ENSG00000144229,Thrombospondin type-1 domain-containing protein 7B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC39A8,ENSG00000138821,Zinc transporter ZIP8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2B2,ENSG00000168131,Olfactory receptor 2B2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2H1,ENSG00000204688,Olfactory receptor 2H1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2J1,ENSG00000204702,Olfactory receptor 2J1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR11A1,ENSG00000204694,Olfactory receptor 11A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR8D2,ENSG00000197263,Olfactory receptor 8D2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GPR88,ENSG00000181656,Probable G-protein coupled receptor 88,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A16,ENSG00000063127,Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
VN1R1,ENSG00000178201,Vomeronasal type-1 receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NMUR2,ENSG00000132911,Neuromedin-U receptor 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NPFFR1,ENSG00000148734,Neuropeptide FF receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MCOLN1,ENSG00000090674,Mucolipin-1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC5A7,ENSG00000115665,High affinity choline transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHRNA10,ENSG00000129749,Neuronal acetylcholine receptor subunit alpha-10,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GFRA4,ENSG00000125861,GDNF family receptor alpha-4,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM19,ENSG00000135074,Disintegrin and metalloproteinase domain-containing protein 19,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A4,ENSG00000197208,Solute carrier family 22 member 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LMAN2L,ENSG00000114988,VIP36-like protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLITRK2,,SLIT and NTRK-like protein 2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCDHAC1,ENSG00000248383,Protocadherin alpha-C1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH19,ENSG00000071991,Cadherin-19,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCG4,ENSG00000172350,ATP-binding cassette sub-family G member 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC3B,,Mucin-3B (Fragments),Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LPAR5,ENSG00000184574,Lysophosphatidic acid receptor 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
UNC93B1,ENSG00000110057,Protein unc-93 homolog B1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TRPV6,ENSG00000165125,Transient receptor potential cation channel subfamily V member 6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMX4,ENSG00000125827,Thioredoxin-related transmembrane protein 4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MEGF9,ENSG00000106780,Multiple epidermal growth factor-like domains protein 9,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A17,ENSG00000197106,Sodium-dependent neutral amino acid transporter SLC6A17,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OPN3,ENSG00000054277,Opsin-3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2AG1,ENSG00000279486,Olfactory receptor 2AG1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10A5,ENSG00000166363,Olfactory receptor 10A5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10A2,ENSG00000170790,Olfactory receptor 10A2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR10A4,ENSG00000170782,Olfactory receptor 10A4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2D2,ENSG00000166368,Olfactory receptor 2D2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ABCG5,ENSG00000138075,ATP-binding cassette sub-family G member 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
S1PR5,ENSG00000180739,Sphingosine 1-phosphate receptor 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
P2RY12,ENSG00000169313,P2Y purinoceptor 12,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDH23,ENSG00000107736,Cadherin-23,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51E2,ENSG00000167332,Olfactory receptor 51E2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DCSTAMP,ENSG00000164935,Dendritic cell-specific transmembrane protein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CXCL16,ENSG00000161921,C-X-C motif chemokine 16,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC26A1,ENSG00000145217,Sulfate anion transporter 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR52A5,ENSG00000171944,Olfactory receptor 52A5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51V1,ENSG00000176742,Olfactory receptor 51V1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEMA6A,ENSG00000092421,Semaphorin-6A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC38A1,ENSG00000111371,Sodium-coupled neutral amino acid transporter 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC6A15,ENSG00000072041,Sodium-dependent neutral amino acid transporter B(0)AT2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ADAM7,ENSG00000069206,Disintegrin and metalloproteinase domain-containing protein 7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MS4A6A,ENSG00000110077,Membrane-spanning 4-domains subfamily A member 6A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLEC4M,ENSG00000104938,C-type lectin domain family 4 member M,Predicted,CD299,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC12A5,ENSG00000124140,Solute carrier family 12 member 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLCO5A1,ENSG00000137571,Solute carrier organic anion transporter family member 5A1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TTYH1,ENSG00000167614,Protein tweety homolog 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM245,ENSG00000106771,Transmembrane protein 245,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51B5,ENSG00000242180,Olfactory receptor 51B5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51B6,ENSG00000176239,Olfactory receptor 51B6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51M1,ENSG00000184698,Olfactory receptor 51M1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51J1,ENSG00000184321,Olfactory receptor 51J1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51I1,ENSG00000167359,Olfactory receptor 51I1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51I2,ENSG00000187918,Olfactory receptor 51I2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR52D1,ENSG00000181609,Olfactory receptor 52D1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HRH4,ENSG00000134489,Histamine H4 receptor,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MUC13,ENSG00000173702,Mucin-13,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEMA4A,ENSG00000196189,Semaphorin-4A,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMPRSS5,ENSG00000166682,Transmembrane protease serine 5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEMA6C,ENSG00000143434,Semaphorin-6C,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SEMA6B,ENSG00000167680,Semaphorin-6B,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRN3,ENSG00000173114,Leucine-rich repeat neuronal protein 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FZD8,ENSG00000177283,Frizzled-8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DPEP2,ENSG00000167261,Dipeptidase 2,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
DPEP3,ENSG00000141096,Dipeptidase 3,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLSTN2,ENSG00000158258,Calsyntenin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC32A1,ENSG00000101438,Vesicular inhibitory amino acid transporter,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PIEZO2,ENSG00000154864,Piezo-type mechanosensitive ion channel component 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDCP1,ENSG00000163814,CUB domain-containing protein 1,CSPA_validated,CD318,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLITRK6,,SLIT and NTRK-like protein 6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IGFLR1,ENSG00000126246,IGF-like family receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLMP,ENSG00000166250,CXADR-like membrane protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FNDC4,ENSG00000115226,Fibronectin type III domain-containing protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM231,ENSG00000205084,Transmembrane protein 231,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANTXR1,ENSG00000169604,Anthrax toxin receptor 1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
RNF167,ENSG00000108523,E3 ubiquitin-protein ligase RNF167,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC19,ENSG00000184434,Leucine-rich repeat-containing protein 19,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ATP13A3,ENSG00000133657,Probable cation-transporting ATPase 13A3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
C10orf54,ENSG00000107738,Platelet receptor Gi24,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
NIPAL2,ENSG00000104361,NIPA-like protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MANSC1,ENSG00000111261,MANSC domain-containing protein 1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CNNM2,ENSG00000148842,Metal transporter CNNM2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ZDHHC11,ENSG00000188818,Probable palmitoyltransferase ZDHHC11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ERVMER34-1,ENSG00000226887,Endogenous retrovirus group MER34 member 1 Env polyprotein,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CHODL,ENSG00000154645,Chondrolectin,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FKRP,ENSG00000181027,Fukutin-related protein,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
